"","suburb","state","blurb"
"704","Ovens","VIC","Ovens is a small town in north east Victoria, Australia located at the junction of the Ovens River and Happy Valley Creek. At the 2006 census, Ovens and the surrounding area had a population of 130.[1] It is 4 kilometres (2 mi) south east of Myrtleford heading towards Bright and is the home of the Happy Valley Hotel and Souter's Vineyard. The area is part of the Alpine Valleys Wine region, and was formerly used for tobacco plantations. Ovens acts as a bypass to many of the local snow fields."
"705","Christmas Hills","VIC","Christmas Hills is a town in Victoria, Australia, 35 km north-east of Melbourne's Central Business District in the local government area of the Shire of Nillumbik. At the 2016 Census, Christmas Hills had a population of 355."
"706","Kyvalley","VIC","Kyvalley is a locality in the Goulburn Valley region of Victoria, Australia. The locality is in the Shire of Campaspe, 218 kilometres (135 mi) north of the state capital, Melbourne."
"707","Rosewhite","VIC","Rosewhite is a rural locality in north-east Victoria, Australia in the Alpine Shire local government area. At the 2011 census, Rosewhite had a population of 168.[1]"
"708","Tresco","VIC","Tresco is a locality in Victoria, Australia, located approximately 23 km from Swan Hill. It was named after Tresco, Isles of Scilly, England. At the 2006 census, Tresco had a population of 604.[1]"
"709","Amherst","VIC","Amherst a town in Victoria, Australia is now located in what is known as the Shire of Central Goldfields, northwest of Talbot. The town's location now resembles an uneven paddock of some 10 acres (40,000 m2), but has little showing of its startling and significant historical prevalence. The town began as a mining settlement which was referred to as Daisy Hill, or sometimes Daisy Hill Creek, and extended throughout the village. After a discovery of gold during the Gold Rush of 1853, the location became known as an extremely rich goldfield soon thereafter. Prior to this discovery, Daisy Hill had gained a particular notoriety, due to an illegal gold rush in February 1849, that was based solely upon the spurious claims made by on Thomas ""Tommy"" Chapman, a shepherd and former Parkhurst prison delinquent. It has been said that Chapman sold a gold nugget substantial in size, and relative to that of an adult hand, to a Melbourne Jeweller, Mr. Bretani from Collins Street. Soon after this alleged sale, Chapman mysteriously vanished. Much confusion surrounds where Chapman actually found the nugget, or if in fact, he stole it, according to the March 1849 issue of the Maitland Chronicle newspaper. As for his disappearance, a number of shepherds used the alias of Thomas Chapman."
"710","Balintore","VIC","Balintore is a small farming community in South West Victoria, Australia. It lies approximately 15 km North of Colac."
"711","Adelaide Lead","VIC","Adelaide Lead is a district in Victoria, Australia, site of a former settlement, located on Old Avoca Road, south-west of Maryborough, west of the Paddy Ranges State Park, in the Shire of Central Goldfields. Located on the northern slopes of the Central Highlands, 225 metres above sea level, the area is naturally characterised by Box-Ironbark forest. Remnants of aboriginal settlement include rock wells beside the Possum Gully Road."
"712","Old Tallangatta","VIC","Old Tallangatta is a locality in north east Victoria, Australia. The locality is in the Shire of Towong local government area, at the upper end of the Mitta Arm of Lake Hume near the confluence of the Mitta Mitta River and Tallangatta Creek, 372 kilometres (231 mi) north east of the state capital, Melbourne."
"713","Gherang","VIC","Gherang is a small rural township in Victoria, Australia. It is in the Surf Coast Shire local government area, and is located on the northern edge of the Great Otway National Park and the Anglesea Heath. At the 2006 census, Gherang had a population of 370.[1] The area is mostly farmland, although there has been some rural residential subdivision. Quarries in the area produce good quality gravel which is mostly used for roads."
"714","Brucknell","VIC","Brucknell is a town in Victoria, Australia. The town is located in the Shire of Corangamite."
"715","Cheshunt","VIC","Cheshunt is a small rural village situated in the Upper King Valley in north-east Victoria, Australia. It is located about 50 km from Wangaratta and is close to the Alpine National Park. At the 2011 census, Cheshunt and the surrounding area had a population of 256.[1]"
"716","Streatham","VIC","Streatham /ˈstrɛθəm/ is a town in the Western District of Victoria, Australia, located on the Glenelg Highway, 80 kilometres (50 mi) west of Ballarat, in the Rural City of Ararat. At the 2016 census, Streatham had a population of 156.[1]"
"717","Yering","VIC","Yering is a town in Victoria, Australia, 38 km north-east from Melbourne's central business district. Its local government area is the Shire of Yarra Ranges."
"718","Ashbourne","VIC","Ashbourne is a small town in Victoria, Australia. It is located on Falloons Road in the Shire of Macedon Ranges, to the west of Woodend. At the 2011 census, Ashbourne and the surrounding area had a population of 264.[1]"
"719","Crowlands","VIC","Crowlands is a small agricultural community nestled on the Wimmera River and is located approximately 24 kilometres (15 mi) northeast of the town of Ararat, in the state of Victoria, Australia. It comprises a small village area of scattered houses and larger farms."
"720","Fumina South","VIC","Fumina South is a town in Victoria, Australia. Located on Willowgrove Road, in the Shire of Baw Baw, it is an isolated pocket near the foothills of Mount Baw Baw. Fumina South has a population of approximately 50 people, mostly weekend farmers and retirees, although it was once a bustling community with its own post office and school."
"721","Barfold","VIC","Barfold is a locality situated on the Heathcote-Kyneton Road (C326) in Victoria, Australia. It has a community hall, Barfold Hall, and an Anglican church, Barfold Union Church.[3][4]"
"722","Yarrawonga South","VIC","Yarrawonga South is a locality directly south of Yarrawonga in Northern Victoria. Its local government area is the Shire of Moira.[1]"
"723","Baynton","VIC","Baynton is a small rural community in central Victoria, Australia. Baynton is approximately 20 km (12 mi) north-east of Kyneton, and 20 km (12 mi) north-west of Lancefield. Baynton's elevation varies from 450 to 650 metres (1,475–2,130 ft) above sea level, and rainfall averages 675 millimetres (26.6 in) per annum. Agriculturally the region produces wool, lamb, beef and wine. Baynton is home to several wineries, and tourism has become an important component of the region's economy."
"724","Nareewillock","VIC","Nareewillock is a locality in the Lower Avoca ward of the local government area of the Shire of Buloke, Victoria, Australia.[1]"
"725","Ardmona","VIC","Ardmona is a town in the Goulburn Valley of central Victoria, Australia. It is 10 km west of Shepparton and located in the City of Greater Shepparton local government area. The Midland Highway passes through the south of Ardmona."
"726","Kotupna","VIC","Kotupna is a small locality in northern Victoria, Australia in the local government area of the Shire of Moira. The post office opened on 17 October 1881, and closed on 30 June 1993.[1]"
"727","Matlock","VIC","Matlock is a town in Victoria, Australia on the Warburton–Woods Point Road, in the Shire of Mansfield."
"728","Panitya","VIC","Panitya is a locality situated in the Sunraysia region. The place by road, is situated about 23 kilometres east from Pinnaroo and 10 kilometres west from Carina on the Mallee Highway."
"729","Kanagulk","VIC","Kanagulk is a locality in western Victoria, Australia. The locality is in the Rural City of Horsham local government area, 384 kilometres (239 mi) west north west of the state capital, Melbourne."
"730","Koetong","VIC","Koetong is a locality in north-east Victoria, Australia. The locality, part of the Towong Shire local government area, is on the Murray Valley Highway between Tallangatta and Corryong, 394 kilometres (245 mi) north-east of the state capital, Melbourne, ."
"731","Wurdiboluc","VIC","Wurdiboluc is a rural locality in the Surf Coast Shire, Victoria, Australia.[2] In the 2016 census, Wurdiboluc had a population of 569 people.[1]"
"732","Tyrrell Downs","VIC","Tyrrell Downs is a locality in the northern part of the Shire of Buloke, Victoria, Australia.[1] The post office there opened in April 1898 and was closed on 1 July 1927. [2]"
"733","Quandong","VIC","Quandong is a bounded rural locality in Victoria, Australia. It is within the local government area of the City of Wyndham."
"734","Mount Sabine","VIC","Mount Sabine is a rural locality in the Shire of Colac Otway, Victoria, Australia.[1] The small locality is located deep in the Otway Ranges, and is mostly densely forested.[2]"
"735","Northwood","VIC","Northwood is a locality in central Victoria, Australia. The locality is in the Shire of Mitchell local government area, 117 kilometres (73 mi) north west of the state capital, Melbourne."
"736","Gundowring","VIC","Gundowring is a locality in north east Victoria, Australia. The locality is in the Shire of Indigo local government area, 331 kilometres (206 mi) north east of the state capital, Melbourne."
"737","The Sisters","VIC","Coordinates: 38°11′53″S 142°46′10″E﻿ / ﻿38.198076°S 142.769514°E﻿ / -38.198076; 142.769514 The Sisters is a settlement in Victoria, Australia. It is located about 38 km north east of Warrnambool and about 17 km northwest of Terang."
"738","Alvie","VIC","Alvie is a small town in Victoria, Australia. It is located along Baynes Road, in the Colac Otway Shire, north-west of Colac. It was named after a Scottish town of the same name, which was the birthplace of James Macpherson Grant, the Minister of Lands.[2] It is situated in what became a rich dairying, potato and onion growing area.[3]"
"739","Molesworth","VIC","Molesworth is a town in the upper Goulburn Valley region of Victoria, Australia. The town is in the Shire of Murrindindi and on the Goulburn Valley Highway,[1] 117 kilometres (73 mi) north east of the state capital, Melbourne."
"740","Turriff","VIC","Turriff is a rural locality in Victoria, Australia, 144 kilometres (89 mi) south of the urban centre of Mildura in Yarriambiack Shire. The town borders the Wathe Flora and Fauna Reserve, a breeding ground for Mallee fowl.[1]"
"741","Molyullah","VIC","Molyullah is a locality in north-eastern Victoria, Australia. The locality is part of the Rural City of Benalla local government area."
"742","Smiths Gully","VIC","Smiths Gully is a town in Victoria, Australia, 35 km north-east of Melbourne's Central Business District. Its local government area is the Shire of Nillumbik. At the 2016 Census, Smiths Gully had a population of 369."
"743","Merricks Beach","VIC","Merricks Beach is a small seaside village on the Mornington Peninsula Victoria, Australia. It is located on the eastern side of the peninsula on Western Port Bay. It is one of the few coastal places within a 100 km radius of Melbourne that has been basically untouched by development. Its local government area is the Shire of Mornington Peninsula."
"744","Tempy","VIC","Tempy is a locality in Victoria, Australia, located approximately 136 km from Mildura, Victoria and south of Ouyen. The area was settled after the arrival of the railway, the Post Office opening on 18 July 1910.[2]"
"745","Icy Creek","VIC","Icy Creek is a locality in Victoria, Australia, located on Mount Baw Baw Road, in the Shire of Baw Baw."
"746","Mangalore","VIC","Mangalore is a town in the state of Victoria, Australia. The town is the Shire of Strathbogie local government area, 2 hours north of Melbourne.[1]"
"747","Sherbrooke","VIC","Sherbrooke is a settlement in Victoria, Australia, 35 km east of Melbourne. Its local government area is the Shire of Yarra Ranges. At the 2006 census, Sherbrooke had a population of 196."
"748","Greta West","VIC","Greta West is a locality in north-east Victoria, Australia. At the 2011 census, Greta West had a population of 251.[1]"
"749","Boolite","VIC","Boolite is a small wheat farming town near Warracknabeal in Victoria, Australia."
"750","Glenloth East","VIC","Glenloth East is a locality in the Shire of Buloke and the Shire of Loddon, Victoria, Australia.[1]"
"751","Muckatah","VIC","Muckatah is a locality in northern Victoria, Australia in the local government area of the Shire of Moira."
"752","Balliang East","VIC","Balliang East is a small town 45 km west of Melbourne. The Local Government Area is the Shire of Moorabool while the population of the town is 147.[1] Balliang East post office opened on the 1/8/1911 and closed on the 24/11/1958.[2] The people of Balliang East are mostly Catholic, Anglican while the majority of the rest have no religion.[3]"
"753","Port Albert","VIC","Port Albert is a coastal town in Victoria, Australia, on the coast of Corner Inlet on the Yarram - Port Albert Road, 82 kilometres (51 mi) south-east of Morwell, 236 kilometres (147 mi) south-east of Melbourne, in the Shire of Wellington. At the 2006 census, Port Albert had a population of 248."
"754","Footscray","VIC","Footscray is an inner-western suburb (neighbourhood) of Melbourne, Australia, 5 km from Melbourne's Central Business District. Its local government area is the City of Maribyrnong. At the 2011 Census, Footscray had a population of 13,203."
"755","Loch Sport","VIC","Loch Sport is a coastal tourist town situated on the Ninety Mile Beach and Lake Victoria in Central Gippsland, eastern Victoria, Australia. At the 2016 census it had a permanent resident population of 814. This is an increase of 125 from the 2011 census. Though the number swells to 4,000 during the Easter and Christmas holidays."
"756","Lakes Entrance","VIC","Lakes Entrance is a seaside resort and fishing port in eastern Victoria, Australia. It is situated approximately 320 kilometres (200 mi) east of Melbourne, near a managed, artificial channel connecting the Gippsland Lakes to the Bass Strait. At the 2016 census, Lakes Entrance had a population of 7,901.[1]"
"757","Portland","VIC","Portland /ˈpɔːrtlənd/[2] is a city in Victoria, Australia, and is the oldest European settlement in the state. It is also the main urban centre in the Shire of Glenelg and is located on Portland Bay."
"758","Port Welshpool","VIC","Port Welshpool is a town in the South Gippsland region of Victoria, Australia. It is located 191 km south-east of Melbourne, on Corner Inlet and in 2006 had a population of 191."
"759","Kerang","VIC","Kerang is a rural town on the Loddon River in northern Victoria in Australia. It is the commercial centre to an irrigation district based on livestock, horticulture, lucerne and grain. It is located 279 kilometres (173 mi) north-west of Melbourne on the Murray Valley Highway a few kilometres north of its intersection with the Loddon Valley Highway, elevation 78 metres (256 ft). At the 2011 census, Kerang had a population of 3,872.[1]Kerang is believed to be an Aboriginal word for Cockatoo."
"760","Woodstock","VIC","Woodstock is a bounded semi-rural locality in Victoria, Australia located just north of Melbourne's outer suburbs. Its local government area is the City of Whittlesea. At the 2016 census, Woodstock had a population of 150."
"761","Warrnambool","VIC","Warrnambool is a regional centre and former port city on the south-western coast of Victoria, Australia. At June 2016, Warrnambool had an estimated urban population of 34,618.[1] Situated on the Princes Highway, Warrnambool marks the western end of the Great Ocean Road and the southern end of the Hopkins Highway."
"762","Cowes","VIC","Cowes is the main township on Phillip Island in the Gippsland region of Victoria, Australia. It is about two hours' drive from Melbourne and can also be reached by ferry from Stony Point on the Mornington Peninsula. Cowes is located on the northern side of Phillip Island and faces towards French Island and the Mornington Peninsula. At the 2011 census, Cowes had a population of 4053."
"763","Mildura","VIC","Mildura is a regional city in north-west Victoria, Australia. Located on the Victorian side of the Murray River, Mildura had a population of 33,444 in 2016.[1] When nearby Wentworth is included, the area had an estimated urban population of 50,998[2] at June 2016. It is the largest settlement in the Sunraysia region. Mildura is a major horticultural centre notable for its grape production, supplying 80% of Victoria's grapes.[3] Many wineries also source grapes from Mildura.[citation needed] Other key crops produced in the district include citrus, almonds and dried fruit."
"764","Kyabram","VIC","Kyabram is located in the centre of a rich irrigation district in the Goulburn River Valley, in the Australian state of Victoria, 200 kilometres (120 mi) north of Melbourne. Kyabram, the second-largest town in the Shire of Campaspe, is situated between the towns of Echuca and Shepparton and is close to the Murray River, Goulburn River, Campaspe River and Waranga Basin. As of the 2011 census the town had a population of 7,321 people and provides services to a district population of around 16,000."
"765","Foster","VIC","Foster is a dairying and grazing town 174 kilometres (108 mi) south-east of Melbourne on the South Gippsland Highway in Victoria, Australia. At the 2016 census Foster had an urban population of 1,164.[1] It is about 20 kilometres (12 mi) north of the Gippsland coastline which includes Shallow Inlet, Corner Inlet, Waratah Bay, Yanakie and Wilsons Promontory."
"766","Melbourne","VIC","Melbourne (/ˈmɛlbərn/ locally [ˈmɛɫbn̩] ( listen))[8][9] is the state capital and most populous city of the Australian state of Victoria, and the second-most populous city in Australia and Oceania.[1] The name ""Melbourne"" covers an urban agglomeration spanning 9,993 km2 (3,858 sq mi),[2] which comprises the broader metropolitan area, as well as being the common name for its city centre. The metropolis is located on the large natural bay of Port Phillip and expands into the hinterlands towards the Dandenong and Macedon mountain ranges, Mornington Peninsula and Yarra Valley. Melbourne consists of 31 municipalities.[10] It has a population of 4,725,316 as of 2016[update],[1] and its inhabitants are called Melburnians.[11][12]"
"767","St Arnaud","VIC","St Arnaud (/ˌsænt ɑːrˈnəd/)[2] is a town in the Wimmera region of Victoria, Australia, 244 kilometres north west of the capital Melbourne. It is in the Shire of Northern Grampians local government area. At the 2011 census, St Arnaud had a population of 2,619.[1]"
"768","Lara","VIC","Lara is a suburb of the City of Greater Geelong, 18 km north-east of the Geelong CBD, inland from the Princes Freeway to Melbourne."
"769","Southbank","VIC","Southbank is an inner urban neighbourhood of Melbourne, Victoria, Australia, 1 km south of Melbourne's central business district. Its local government area are the Cities of Melbourne and Port Phillip. At the 2011 Census, Southbank had a population of 11,235. Its northernmost area is considered part of the Central Business District and Central Activities District of the City. Southbank is bordered to the north by the Yarra River, and to the east by St Kilda Road. Southbank's southern and western borders are bounded by Dorcas Street, Kings Way, the West Gate Freeway and Montague Street.[2]"
"770","Hawthorn","VIC","Hawthorn is an inner suburb of Melbourne, Australia, 6 kilometres (3.7 mi) east of Melbourne's central business district. Its local government area is the City of Boroondara. At the 2011 Census, Hawthorn had a population of 21,177."
"771","Ararat","VIC","Ararat is a city in south-west Victoria, Australia, about 198 kilometres (120 mi) west of Melbourne, on the Western Highway on the eastern slopes of the Ararat Hills and Cemetery Creek valley between Victoria's Western District and the Wimmera. Its urban population according to 2016 census is 8,297 and services the region of 11,752 residents across the Rural City's boundaries [2]"
"772","Nelson","VIC","Nelson is a small fishing town in Victoria, Australia. It is located on at the mouth of the Glenelg River and on Discovery Bay, a few kilometres from the South Australian border, and 422 kilometres (262 mi) west of Melbourne. At the 2006 census, Nelson and the surrounding area had a population of 226.[1]"
"773","Nowa Nowa","VIC","Nowa Nowa is a small town in the Australian state of Victoria. It is in East Gippsland, near Lakes Entrance. At the 2006 census, Nowa Nowa and the surrounding area had a population of 194.[1]"
"774","Metung","VIC","Metung is a town in East Gippsland region of Victoria, Australia. The town is 314 kilometres (195 mi) east of the state capital Melbourne and between the larger towns of Bairnsdale and Lakes Entrance. It is on a small peninsula 31 kilometres (19 mi) south-east of Bairnsdale, separating Lake King and Bancroft Bay on the Gippsland Lakes. At the 2006 census, Metung had a population of 1,207.[1]"
"775","Wye River","VIC","Wye River is a small town in Victoria, Australia. It is also the name given to the waterway which flows through the town and into the sea at this point. Situated some 155 km west of Melbourne, on the Otway Coast part of the scenic Great Ocean Road, the Wye River township is a popular tourist destination about 15 km west of the resort town of Lorne, Victoria. It became a popular place for Melburnians to holiday after the Great Ocean Road was officially opened in 1932. The postcode of Wye River is 3234. At the 2016 census, Wye River had a permanent population of 66 although its holiday population is ten times that number.[1]"
"776","Oakleigh","VIC","Oakleigh is a suburb of Melbourne, Victoria, Australia 15 km south-east of Melbourne's central business district. Its local government area is the City of Monash. At the 2016 Census, Oakleigh had a population of 7,893.[1]"
"777","Morwell","VIC","Morwell is a town in the Latrobe Valley area of Gippsland, in South-Eastern Victoria, Australia approximately 149 km (93 mi) east of Melbourne."
"778","Rainbow","VIC","Rainbow is a town in north west Victoria, Australia, 400 kilometres (249 mi) from Melbourne. The town is in the Shire of Hindmarsh and the nearest large towns are Warracknabeal, Dimboola and Nhill, all to the south. At the 2011 census Rainbow had a population of 525.[1]"
"779","Dinner Plain","VIC","Dinner Plain is a town[2] in Victoria, Australia, located on the Great Alpine Road, 13 kilometres from Mount Hotham Alpine Resort, and 375 kilometres from Melbourne. At the 2011 census, Dinner Plain had a population of 143,[1] yet has over 200 lodges and chalets for tourist accommodation."
"780","Jack River","VIC","Jack River (postcode: 3971) is a small settlement in the Shire of Wellington in southwestern Gippsland, in the Australian state of Victoria. The nearest major town is Yarram, located about 6 kilometres (3.7 mi) east. Jack River is located approximately 170 kilometres (110 mi) east southeast of Melbourne.[2]"
"781","Yarram","VIC","Yarram (formerly Yarram Yarram) is in Victoria, Australia, in the Shire of Wellington, located in the southeast of Gippsland. At the 2011 census, the population of the town was 2,168.[1] The town is the regional centre of a prosperous farming district. It has a vibrant community, which remains dedicated to a strong sporting culture. The town also has a strong tourism industry, with Tarra Bulga National Park, Port Albert, Ninety Mile Beach and Agnes Falls all being within a 30 minute commute from Yarram. The town is located about one and a half hours from Wilsons Promontory. Nearby towns include Welshpool, Alberton and Foster."
"782","Traralgon","VIC","Traralgon (locally /təˈræl.ɡən/) is a city located in the east of the Latrobe Valley in the Gippsland region of Victoria, Australia. The urban population of Traralgon at the 2016 census was 25,485.[1] It is the largest and fastest growing city in the greater Latrobe Valley area, which has a population of 74,170[3] at June 2016 and is administered by the City of Latrobe."
"783","Alexandra","VIC","Alexandra is a town in Victoria, Australia. Located at the junction of the Goulburn Valley Highway (B340) and Maroondah Highway (B360), 26 kilometres west of Eildon, in the Shire of Murrindindi local government area. At the 2011 census, Alexandra had a population of 2,656.[1]"
"784","Sale","VIC","Sale is a city situated in the Gippsland region of the Australian state of Victoria. It had an estimated urban population of 14,783[1] at June 2016."
"785","Swan Hill","VIC","Swan Hill is a city in the northwest of Victoria, Australia on the Murray Valley Highway and on the south bank of the Murray River, downstream from the junction of the Loddon River. At the 2011 census, Swan Hill had a population of 9,894.[1]"
"786","Yarrawonga","VIC","Yarrawonga /jærəˈwɒŋɡə/[2] is a town in the Shire of Moira local government area in the Australian state of Victoria. The town is situated on the south bank of the Murray River, the border between Victoria and New South Wales and is located approximately 265 kilometres (165 mi) north-east of the state capital, Melbourne. Yarrawonga's twin town of Mulwala is on the other side of the Murray River. At the 2011 census, Yarrawonga had a population of 7,057.[1]"
"787","Inverloch","VIC","Inverloch /ˈɪnvərlɒk/ is a seaside town located in Victoria, Australia. It is located 143 kilometres (89 mi) south east of Melbourne via the South Gippsland Highway on the Bass Highway at the mouth of Anderson Inlet, in the Bass Coast Shire of Gippsland, Victoria, Australia. Known originally for the calm waters of Anderson Inlet, it is now also known for the discovery of Australia's first dinosaur bone and at the 2011 census it had a population of 4,960.[1]"
"788","Paynesville","VIC","Paynesville is a tourist/holiday resort town in the Gippsland region of Victoria, Australia. At the 2006 census, Paynesville had a population of 2967. The town is located 293 kilometres (182 mi) east of the state capital, Melbourne. It is known as the boating capital of Victoria.[2]"
"789","Tatura","VIC","Tatura is a town in the Goulburn Valley region of Victoria, Australia. The town is in the City of Greater Shepparton local government area, 167 kilometres (104 mi) north of the state capital, Melbourne and 18 kilometres (11 mi) west of the regional centre of Shepparton. At the 2011 census, Tatura had a population of 4,448.[1]"
"790","Mernda","VIC","Mernda is a suburb of Melbourne, Victoria, Australia, 27 km north-east of Melbourne's central business district. Its local government area is the City of Whittlesea. At the 2016 Census, Mernda had a population of 16,458."
"791","San Remo","VIC","San Remo is a town in southern Victoria, Australia in the Gippsland region. Formed as a fishing village, its economy is now largely based on tourism. It is also notable as the town on the mainland end of the bridge to Phillip Island. At the 2006 census, San Remo had a population of 1017."
"792","Derrinallum","VIC","Derrinallum is a town in Victoria, Australia, located on the Hamilton Highway, in the Corangamite Shire. The town is the centre for the surrounding farming community and lies at the foot of Mount Elephant."
"793","Rye","VIC","Rye is a seaside resort town, approximately 83 km south of Melbourne, Victoria, Australia, on the Mornington Peninsula, Victoria, Australia. Its bay beach is popular with swimmers, fishermen, yachtsmen and kitesurfers. Its ocean beach (which is not patrolled) is also popular with surfers.[2] Its local government area is the Shire of Mornington Peninsula. A myth to many tourists and locals for the towns capacity to ruin ugg boot's is still unsolved."
"794","Tarneit","VIC","Tarneit ( pronunciation (help·info)) is a growing suburb of Melbourne, Victoria, Australia, 25 km west of Melbourne's Central Business District, located within the City of Wyndham local government area. Tarneit recorded a population of 34,562 at the 2016 Census."
"795","Northcote","VIC","Northcote (/ˈnɔːrθkət/ ( listen)) is an inner suburb of Melbourne, Victoria, Australia, 6 km north-east of Melbourne's Central Business District. It is part of the local government area of the City of Darebin. At the 2016 Census, Northcote had a population of 24,561."
"796","Longwarry","VIC","Longwarry is a town in Victoria, Australia, 83 kilometres (52 mi) south-east of Melbourne's Central Business District, located within the Shires of Baw Baw and Cardinia local government areas. Longwarry recorded a population of 2,004 at the 2016 Census."
"797","Woomelang","VIC","Woomelang is a town in the Mallee region of Victoria, Australia. The town is in the Shire of Yarriambiack local government area and on the Sunraysia Highway, 359 kilometres (223 mi) north-west of the state capital, Melbourne, 183 kilometres (114 mi) south-east of Mildura and 154 kilometres (96 mi) north of Horsham. At the 2011 census, Woomelang and the surrounding area had a population of 191.[1]"
"798","Dimboola","VIC","Dimboola is a town in the Shire of Hindmarsh in the Wimmera region of western Victoria, Australia, 334 kilometres north-west of Melbourne."
"799","Mitcham","VIC","Mitcham is a suburb of Melbourne, Victoria, Australia, 21 km east from Melbourne's Central Business District. Its local government area is the City of Whitehorse. At the 2011 Census, Mitcham had a population of 14,811."
"800","Maribyrnong","VIC","Maribyrnong is an inner suburb 8 km north-west of Melbourne, Victoria, Australia. Its local government area is the City of Maribyrnong, part of the River Ward.[2] At the 2011 Census, Maribyrnong had a population of 10,165."
"801","Coongulla","VIC","Coongulla is a town in Victoria, Australia, located on Ryans Road, on the shores of Lake Glenmaggie in the Shire of Wellington. The postcode for Coongulla and the surrounding towns is 3860. At the 2006 census, Coongulla and the surrounding area had a population of 165.[1] Coongulla is 160 km from Melbourne."
"802","Woodside","VIC","Woodside is a village in Victoria, Australia. At the 2011 census, Woodside and the surrounding area had a population of 488.[1]"
"803","Epping","VIC","Epping is a suburb of Melbourne, Victoria, Australia, 26 km north of Melbourne's Central Business District. Its local government area is the City of Whittlesea. Epping had a population of 32,200 with a growth rate of 9.1%.[2]"
"804","Wollert","VIC","Wollert is a suburb in Melbourne, Victoria, Australia, 26 km north of Melbourne's central business district. Its local government area is the City of Whittlesea. At the 2016 census, Wollert had a population of 9,060."
"805","Point Cook","VIC","Point Cook is the home of RAAF Base Williams, Point Cook, the birthplace of the Royal Australian Air Force, and is the current home of the RAAF Museum. The wetlands of the Point Cook Coastal Park form part of the Cheetham and Altona Important Bird Area.[2]"
"806","Apsley","VIC","Apsley is a small town in Victoria, Australia. It is on the Wimmera Highway, in the Shire of West Wimmera, 420 kilometres north-west of Melbourne, and 7 kilometres east of the South Australian border. The town is named after Apsley House in London. It was surveyed in 1851 and proclaimed in 1852, a Post Office opening on 1 January 1854 [2] replacing that of Lake Wallace (open since 1 March 1849 nearer what is now Edenhope serving the grazing population."
"807","Dartmoor","VIC","Dartmoor /ˈdɑːtmɔː/[2] is a rural township on the Princes Highway and the Glenelg River between Heywood and the South Australian border, in southwestern Victoria. At the 2011 census, Dartmoor had a population of 263.[3]"
"808","Torquay","VIC","Torquay is a seaside resort in Victoria, Australia, which faces Bass Strait, 21 km south of Geelong and is the gateway to the Great Ocean Road. It is bordered on the west by Spring Creek and its coastal features include Point Danger and Zeally Bay. At the 2011 Census, Torquay had a population of 10,142.[2]"
"809","Callignee","VIC","Callignee is a locality in the Gippsland region of Victoria, Australia. The locality is 175 kilometres (109 mi) east of the state capital, Melbourne. At the 2006 census, Callignee and the surrounding area had a population of 495.[1]"
"810","Tyrendarra","VIC","Tyrendarra /ˈtɪərəndərə/ is a locality in south west Victoria, Australia. The locality is split between the Shire of Glenelg and the Shire of Moyne local government areas, with most being in the former. It is on the Princes Highway, 338 kilometres (210 mi) south west of the state capital, Melbourne. The Tyrendarra township lies within a bend of Darlot Creek, before it enters the Fitzroy River—which also flows through the locality. At the 2006 census, Tyrendarra and the surrounding area had a population of 243.[1]"
"811","Moolap","VIC","Moolap is a residential and industrial suburb of Geelong, Victoria, Australia. The name Moolap is derived from an Aboriginal word for nearby Point Henry, moo-laa, thought to mean 'men gathering to go fishing'."
"812","Ballan","VIC","Ballan /bəˈlæn/ ( listen)[2] is a small town in the state of Victoria, Australia located on the Werribee River, 78 kilometres (48 mi) northwest of Melbourne. At the 2016 census, Ballan had a population of 2,985.[1]"
"813","Beveridge","VIC","Beveridge is a town in Victoria, Australia, located along the Hume Highway, 42 kilometres north of Melbourne in the Shire of Mitchell. An eastern rural portion of the locality is within the City of Whittlesea in Greater Melbourne. At the 2016 Census, Beveridge had a population of 2,330."
"814","Fish Creek","VIC","Fish Creek is a small township in Victoria, Australia. At the 2011 census, Fish Creek and the surrounding area had a population of 791.[2]"
"815","Seaford","VIC","Seaford is a suburb in Melbourne, Victoria, Australia, 36 km south-east of Melbourne's central business district. Its local government area is the City of Frankston. At the 2011 census, Seaford had a population of 16,033.[1]"
"816","Roxburgh Park","VIC","Roxburgh Park is a suburb of Melbourne, Australia, 20 kilometres (12 mi) north of Melbourne's central business district. Its local government area is the City of Hume. At the 2016 Census, Roxburgh Park had a population of 21,817."
"817","Toora","VIC","Toora is a small farming town in Victoria, Australia whose main industry is dairy farming. It is located at the top of Corner Inlet opposite Wilsons Promontory National Park. In the 2011 census the population was 887.[1]"
"818","Patterson Lakes","VIC","Patterson Lakes is located in outer south-east Melbourne in Victoria, Australia. The canal suburb is located 35 km south-east of Melbourne's central business district.[2] Its local government area is the City of Kingston. In the 2016 census, Patterson Lakes had a population of 7,564.[1]"
"819","Preston","VIC","Preston is a suburb of Melbourne, Victoria, Australia, 9 km north from Melbourne's Central Business District. Its local government area is the City of Darebin. At the 2016 Census, Preston had a population of 32,851."
"820","Willow Grove","VIC","Willow Grove is a village and rural farming community northwest of Moe in Victoria, Australia. It has a primary school, football club (although named for the neighbouring town of Hill End), tennis courts, community hall, general store, CFA shed, and kindergarten. The next town to the west is Hill End and to the east Tanjil South. Willow Grove is situated within the Shire of Baw Baw and shares the postcode 3825. At the 2006 census, Willow Grove and the surrounding area had a population of 221.[1]"
